Institut,Semester,Kursusnavn,Type,Dato,Start,Slut,Lokale,Beskrivelse
2400,F18,Antropologi Ii,Forelæsning,5 feb 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,12 feb 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,19 feb 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,26 feb 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,5 mar 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,12 mar 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,19 mar 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,9 apr 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,16 apr 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,23 apr 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,30 apr 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,7 maj 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Forelæsning,14 maj 2018,10:00,12:00,CSS 18-01-11,FL
2400,F18,Antropologi Ii,Undervisning,6 feb 2018,10:00,12:00,CSS 2-0-18,Hold 1
2400,F18,Antropologi Ii,Undervisning,13 feb 2018,10:00,12:00,CSS 2-0-18,Hold 1
2400,F18,Antropologi Ii,Undervisning,20 feb 2018,10:00,12:00,CSS 2-0-18,Hold 1
2400,F18,Antropologi Ii,Undervisning,6 mar 2018,10:00,12:00,CSS 2-0-18,Hold 1
2400,F18,Antropologi Ii,Undervisning,13 mar 2018,10:00,12:00,CSS 2-0-18,Hold 1
2400,F18,Antropologi Ii,Undervisning,3 apr 2018,10:00,12:00,CSS 2-0-18,Hold 1
2400,F18,Antropologi Ii,Undervisning,10 apr 2018,10:00,12:00,CSS 2-0-18,Hold 1
