institute_num,semester,course_name,studyyear,course_name_tomatch,matched_name,matched_name_full,matched_id,matched_dist
2200,F16,Economics Of Exchange Rates,15/16,Economics Of Exchange Rates, Economics of Exchanges Rates , Economics of Exchanges Rates (former International Finance) (F),AØKA08223U ,3
2200,B5-5f16,Organization Theory (Class),15/16,Organization Theory , Organization Theory, Summerschool: Organization Theory,AØKA08026U ,2
2200,B5-5f16,Videregående Statistik (Undervisning),15/16,Videregående Statistik , Videregående statistik, Sommerskole 2016: Videregående statistik,AØKA08178U ,2
2200,B5-5f16,Entrepreneurship (Class),15/16,Entrepreneurship , Entrepreneurship, Summerschool 2016: Entrepreneurship,AØKA08179U ,2
2200,B5-5f16,Theoretical And Empirical Foundations Of Dsge Modeling,15/16,Theoretical And Empirical Foundations Of Dsge Modeling, Theoretical and Empirical Foundations of DSGE Modeling , Summerschool 2016: Theoretical and Empirical Foundations of DSGE Modeling (F),AØKA08207U ,2
2200,B5-5f16,The Economic History Of Europe,15/16,The Economic History Of Europe, The Economic History of Europe, Summerschool 2016: The Economic History of Europe,AØKA08214U ,1
2200,F16,Demography (Class),15/16,Demography , Demography, Demography,AØKA08197U ,2
2200,F16,Advanced Strategic Management (Class),15/16,Advanced Strategic Management , Advanced Strategic Management, Advanced Strategic Management,AØKA08100U ,2
2200,F16,Econometrics Ii (Econometrics C),15/16,Econometrics Ii , Econometrics II , Econometrics II (former Econometrics C),AØKA08007U ,1
2200,F16,Advanced Development Economics - Micro Aspects (Class),15/16,Advanced Development Economics - Micro Asp , Advanced Development Economics - Micro Asp, Advanced Development Economics - Micro Aspects,AØKA08088U ,2
2200,F16,Lineære Modeller,15/16,Lineære Modeller, Lineære modeller , Lineære modeller inkl sommerskole,AØKA08189U ,2
2200,F16,Dynamiske Modeller (Undervisning),15/16,Dynamiske Modeller , Dynamiske Modeller , Dynamiske Modeller inkl sommerskole,AØKA08191U ,1
2200,F16,Økonomiske Principper A (Undervisning),15/16,Økonomiske Principper A , Økonomiske principper A, Økonomiske principper A,AØKB08001U ,2
2200,F16,Økonomiske Principper B (Undervisning),15/16,Økonomiske Principper B , Økonomiske principper B, Økonomiske principper B,AØKB08002U ,2
2200,F16,Samfundsbeskrivelse A (Undervisning),15/16,Samfundsbeskrivelse A , Samfundsbeskrivelse A, Samfundsbeskrivelse A,AØKB08003U ,2
2200,F16,Samfundsbeskrivelse B (Undervisning),15/16,Samfundsbeskrivelse B , Samfundsbeskrivelse B, Samfundsbeskrivelse B,AØKB08004U ,2
2200,F16,Erhvervsøkonomi (Undervisning),15/16,Erhvervsøkonomi , Erhvervsøkonomi, Erhvervsøkonomi,AØKB08005U ,2
2200,F16,Matematik A (Undervisning),15/16,Matematik A , Matematik A, Matematik A,AØKB08006U ,2
2200,F16,Matematik B (Undervisning),15/16,Matematik B , Matematik B, Matematik B,AØKB08007U ,2
2200,F16,Mikroøkonomi I (Tidl. Mikro A),15/16,Mikroøkonomi I , Mikroøkonomi I , Mikroøkonomi I (tidligere Mikro A),AØKB08015U ,1
2200,F16,Mikroøkonomi Ii (Tidl. Mikro B),15/16,Mikroøkonomi Ii , Mikroøkonomi II , Mikroøkonomi II (tidligere Mikro B),AØKB08016U ,1
2200,F16,Makroøkonomi I (Tidl Makro A),15/16,Makroøkonomi I , Makroøkonomi I , Makroøkonomi I (tidligere Makro A),AØKB08017U ,1
2200,F16,Makroøkonomi Ii (Tidl Makro B),15/16,Makroøkonomi Ii , Makroøkonomi II , Makroøkonomi II (tidligere Makro B),AØKB08018U ,1
2200,F16,Sandsynlighedsteori Og Statistik (Tidl Økonometri A),15/16,Sandsynlighedsteori Og Statistik , Sandsynlighedsteori og statistik , Sandsynlighedsteori og statistik (tidligere Økonometri A),AØKB08019U ,1
2200,F16,Econometrics I,15/16,Econometrics I, Econometrics II , Econometrics II (former Econometrics C),AØKA08007U ,3
