Institut,Semester,Kursusnavn,Type,Dato,Start,Slut,Lokale,Beskrivelse
2300,E17,International Politik 1.,Forelæsning,6 sep 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,13 sep 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,20 sep 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,27 sep 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,4 okt 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,11 okt 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,25 okt 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,1 nov 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,8 nov 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,15 nov 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,22 nov 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,29 nov 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,6 dec 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Forelæsning,13 dec 2017,15:00,17:00,CSS 34-0-01 Chr. Hansen Aud.,Fl. 34.0.01
2300,E17,International Politik 1.,Undervisning,8 sep 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,15 sep 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,22 sep 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,29 sep 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,13 okt 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,27 okt 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,3 nov 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,10 nov 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,17 nov 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,24 nov 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
2300,E17,International Politik 1.,Undervisning,1 dec 2017,8:00,10:00,CSS 4-1-36,Hold TILVALG
