module,error,studyyear,institute_num
2200-F16;Economics of Exchange Rates,0,15/16,2200
2200-B5-5F16;Datamatik 1 (undervisning),1,15/16,2200
2200-B5-5F16;Organization Theory (class),0,15/16,2200
2200-B5-5F16;Behavioral Experimental Economics (class),1,15/16,2200
2200-B5-5F16;Financial Econometrics B (class),1,15/16,2200
2200-B5-5F16;VideregÃ¥ende statistik (undervisning),0,15/16,2200
2200-B5-5F16;Entrepreneurship (class),0,15/16,2200
2200-B5-5F16;Theoretical and Empirical Foundations of DSGE Modeling,0,15/16,2200
2200-B5-5F16;The Economic History of Europe,0,15/16,2200
2200-B5-5F15;Applied Economics,1,15/16,2200
2200-B5-5F16;LineÃ¦re modeller,1,15/16,2200
"2200-B5-5F16;Financial Frictions, Liquidity and the Business Cycle",1,15/16,2200
2200-B5-5F16;Seminar: Study a Classical Writer,1,15/16,2200
2200-B5-5F16;Dynamiske modeller (undervisning),1,15/16,2200
2200-B5-5F15;Datamatik 1 (undervisning),1,15/16,2200
2200-B5-5F15;Organization Theory (class),1,15/16,2200
2200-B5-5F15;Behavioral Experimental Economics (class),1,15/16,2200
2200-B5-5F15;Financial Econometrics B (class),1,15/16,2200
2200-B5-5F15;VideregÃ¥ende statistik (undervisning),1,15/16,2200
2200-B5-5F15;Entrepreneurship (class),1,15/16,2200
2200-B5-5F15;Theoretical and Empirical Foundations of DSGE Modeling,1,15/16,2200
2200-B5-5F15;The Economic History of Europe (Danish),1,15/16,2200
2200-B5-5F15;LineÃ¦re modeller,1,15/16,2200
2200-F16;Demography (class),0,15/16,2200
2200-B5-5F16;Social Data Science,1,15/16,2200
2200-F16;Advanced Industrial Organization (class),1,15/16,2200
2200-F16;Advanced Strategic Management (class),0,15/16,2200
2200-F16;Anvendt operationsanalyse med SAS (undervisning),1,15/16,2200
2200-F16;Econometrics II (Econometrics C),0,15/16,2200
2200-F16;Bachelor projekt,1,15/16,2200
2200-F16;Advanced Development Economics - Micro Aspects (class),0,15/16,2200
2200-F16;LineÃ¦re modeller,0,15/16,2200
2200-F16;Dynamiske modeller (undervisning),0,15/16,2200
2200-F16;Ã˜konomiske Principper A (undervisning),0,15/16,2200
2200-F16;Ã˜konomiske Principper B (undervisning),0,15/16,2200
2200-F16;Samfundsbeskrivelse A (undervisning),0,15/16,2200
2200-F16;Samfundsbeskrivelse B (undervisning),0,15/16,2200
2200-F16;ErhvervsÃ¸konomi (undervisning),0,15/16,2200
2200-F16;Matematik A (undervisning),0,15/16,2200
2200-F16;Matematik B (undervisning),0,15/16,2200
